"","number","mean","stdev","median","number","mean","stdev","median","number","mean","stdev","median"
"PERSON_SSN",1e+05,1.00003052875809,0.00547716935388149,1,992,1.00302431664822,0.0549371412605146,1,980,1.00408208954604,0.0637896651603686,1
"PERSON_PHONE",1e+05,1.04586788056143,0.206202076826605,1,992,2.05375108383461,0.398668964958033,2,980,2.41332811323196,0.67989966216419,2
"PERSON_ADD",1e+05,1.00003002251689,0.00547717074030804,1,992,1.00302419354839,0.0549371480096827,1,980,1.00510209187503,0.0712824969371445,1
"SSN_PERSON",1e+05,1.00003,0.00547717080197431,1,992,1.00302419354839,0.0549371480096827,1,980,1.00510204081633,0.0712825005774806,1
"SSN_PHONE",1e+05,1.04583536552322,0.206135992278146,1,992,2.05375085439381,0.398669545606217,2,980,2.41026640212255,0.677998055103854,2
"SSN_ADD",1e+05,1.00002001501126,0.00447211356047359,1,992,1.00201612903226,0.0448786652349973,1,980,1.00408167350002,0.0637896916771224,1
"PHONE_PERSON",1e+05,1.00003,0.00547717080197431,1,992,1.00302419354839,0.0549371480096827,1,980,1.00510204081633,0.0712825005774806,1
"PHONE_SSN",1e+05,1.00003052875809,0.00547716935388149,1,992,1.00302431664822,0.0549371412605146,1,980,1.00408208954604,0.0637896651603686,1
"PHONE_ADD",1e+05,1.00003002251689,0.00547717074030804,1,992,1.00302419354839,0.0549371480096827,1,980,1.00510209187503,0.0712824969371445,1
"ADD_PERSON",1e+05,1.00003,0.00547717080197431,1,992,1.00302419354839,0.0549371480096827,1,980,1.00510204081633,0.0712825005774806,1
"ADD_SSN",1e+05,1.00002035250539,0.00447211280580238,1,992,1.00201621109881,0.0448786615630716,1,980,1.00306156715953,0.0552717705678495,1
"ADD_PHONE",1e+05,1.04586788056143,0.206202076826605,1,992,2.05375108383461,0.398668964958033,2,980,2.41332811323196,0.67989966216419,2
"TIME_PERSON",1e+05,1.00049,0.0221306303039018,1,992,1.04939516129032,0.216800971045311,1,980,1.08265306122449,0.275497696241063,1
"TIME_SSN",1e+05,1.00048846012944,0.0219036603525812,1,992,1.04838906637149,0.214690614051663,1,980,1.07960074614777,0.270795849210802,1
"TIME_PHONE",1e+05,1.04630141440416,0.207129024042939,1,992,2.09407672369035,0.338553879028779,2,980,2.48170361104936,0.585461686234817,2
"TIME_ADD_ZIP",1e+05,1.00049036777583,0.0221306262323509,1,992,1.04939516129032,0.216800971045311,1,980,1.08265388837547,0.275497449047794,1
